l,N,k,d,degree,essential_dim,degree_note,t_count,t_count_note,decomposition,n,s_total,s_O,parts,search
3,12,3,2,2,3,,4,,CS,5,2,1,,two-group
3,20,3,2,2,3,,4,,T+CS,6,,,2+1,symmetry-free
3,24,3,2,3,3,,7,,CCZ,5,1,1,,two-group
3,28,3,2,1,3,,3,,3xT,6,1,3,,two-group
3,29,3,2,1,3,,3,,3xT,7,2,3,,two-group
3,56,3,2,3,3,,7,,CCZ,6,1,1,,two-group
3,60,3,2,1,3,,3,,3xT,7,1,3,,two-group
3,61,3,2,1,3,,3,,3xT,8,2,3,,two-group
3,75,3,2,2,3,,4,,CS,7,1,2,,two-group
3,76,3,2,2,3,,4,,CS,8,2,2,,two-group
3,120,3,2,3,3,,7,,CCZ,7,1,1,,two-group
3,124,3,2,1,3,,3,,3xT,8,1,3,,two-group
3,125,3,2,1,3,,3,,3xT,9,2,3,,two-group
3,133,3,2,1,3,,3,,3xT,9,4,1,,two-group
3,155,3,2,2,3,,4,,CS,8,1,2,,two-group
3,156,3,2,2,3,,4,,CS,9,2,2,,two-group
3,248,3,2,3,3,,7,,CCZ,8,1,1,,two-group
3,252,3,2,1,3,,3,,3xT,9,1,3,,two-group
3,253,3,2,1,3,,3,,3xT,10,2,3,,two-group
3,269,3,2,1,3,,3,,3xT,10,4,1,,two-group
3,277,3,2,1,3,,3,,3xT,11,4,3,,two-group
3,315,3,2,2,3,,4,,CS,9,1,2,,two-group
3,316,3,2,2,3,,4,,CS,10,2,2,,two-group
3,504,3,2,3,3,,7,,CCZ,9,1,1,,two-group
3,508,3,2,1,3,,3,,3xT,10,1,3,,two-group
3,509,3,2,1,3,,3,,3xT,11,2,3,,two-group
3,525,3,2,1,3,,3,,3xT,11,4,1,,two-group
3,635,3,2,2,3,,4,,CS,10,1,2,,two-group
3,636,3,2,2,3,,4,,CS,11,2,2,,two-group
3,1016,3,2,3,3,,7,,CCZ,10,1,1,,two-group
3,1020,3,2,1,3,,3,,3xT,11,1,3,,two-group
3,1275,3,2,2,3,,4,,CS,11,1,2,,two-group
3,2040,3,2,3,3,,7,,CCZ,11,1,1,,two-group
3,8,4,2,3,3,,7,,CCZ,5,2,1,,two-group
3,18,4,2,2,4,,5,,CS,6,1,3,,two-group
3,18,4,2,2,4,,6,,2xCS,6,,,2+2,symmetry-free
3,20,4,2,1,4,,4,,4xT,7,2,3,,two-group
3,20,4,2,3,4,,7,,T+CCZ,7,,,3+1,symmetry-free
3,22,4,2,2,4,,5,,2xT+CS,7,,,2+1+1,symmetry-free
3,24,4,2,3,3,,7,,CCZ,6,2,1,,two-group
3,28,4,2,1,4,,4,,4xT,7,,,1+1+1+1,symmetry-free
3,42,4,2,2,4,,5,,CS,7,1,3,,two-group
3,44,4,2,1,4,,4,,4xT,8,2,3,,two-group
3,56,4,2,3,3,,7,,CCZ,7,2,1,,two-group
3,75,4,2,1,4,,4,,4xT,8,1,4,,two-group
3,76,4,2,1,4,,4,,4xT,9,2,4,,two-group
3,90,4,2,2,4,,5,,CS,8,1,3,,two-group
3,92,4,2,1,4,,4,,4xT,9,2,3,,two-group
3,120,4,2,3,3,,7,,CCZ,8,2,1,,two-group
3,132,4,2,1,4,,4,,4xT,9,4,1,,two-group
3,135,4,2,3,3,,7,,CCZ,8,1,2,,two-group
3,136,4,2,3,3,,7,,CCZ,9,2,2,,two-group
3,155,4,2,1,4,,4,,4xT,9,1,4,,two-group
3,156,4,2,1,4,,4,,4xT,10,2,4,,two-group
3,186,4,2,2,4,,5,,CS,9,1,3,,two-group
3,188,4,2,1,4,,4,,4xT,10,2,3,,two-group
3,196,4,2,1,4,,4,,4xT,11,4,3,,two-group
3,248,4,2,3,3,,7,,CCZ,9,2,1,,two-group
3,268,4,2,1,4,,4,,4xT,10,4,1,,two-group
3,279,4,2,3,3,,7,,CCZ,9,1,2,,two-group
3,280,4,2,3,3,,7,,CCZ,10,2,2,,two-group
3,315,4,2,1,4,,4,,4xT,10,1,4,,two-group
3,316,4,2,1,4,,4,,4xT,11,2,4,,two-group
3,378,4,2,2,4,,5,,CS,10,1,3,,two-group
3,380,4,2,1,4,,4,,4xT,11,2,3,,two-group
3,504,4,2,3,3,,7,,CCZ,10,2,1,,two-group
3,524,4,2,1,4,,4,,4xT,11,4,1,,two-group
3,567,4,2,3,3,,7,,CCZ,10,1,2,,two-group
3,568,4,2,3,3,,7,,CCZ,11,2,2,,two-group
3,635,4,2,1,4,,4,,4xT,11,1,4,,two-group
3,762,4,2,2,4,,5,,CS,11,1,3,,two-group
3,1016,4,2,3,3,,7,,CCZ,11,2,1,,two-group
3,1143,4,2,3,3,,7,,CCZ,11,1,2,,two-group
3,18,5,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",9,,CS+CCZ,7,,,3+2,symmetry-free
3,20,5,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",8,,2xT+CCZ,8,,,3+1+1,symmetry-free
3,26,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",7,,T+2xCS,8,,,2+2+1,symmetry-free
3,30,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,3xT+CS,8,,,2+1+1+1,symmetry-free
3,42,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,5xT,8,1,5,,two-group
3,43,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,5xT,9,2,5,,two-group
3,90,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,5xT,9,1,5,,two-group
3,91,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,5xT,10,2,5,,two-group
3,105,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS,9,1,4,,two-group
3,106,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS,10,2,4,,two-group
3,130,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS,9,4,1,,two-group
3,165,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",10,,CS,9,1,3,,two-group
3,171,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,5xT,10,2,3,,two-group
3,186,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,5xT,10,1,5,,two-group
3,187,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,5xT,11,2,5,,two-group
3,217,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS,10,1,4,,two-group
