l,N,k,d,output_degree,output_gate
2,1275,3,2,deg2,CZ
2,1533,2,2,deg1,S
2,2044,2,2,deg2,CZ
2,2046,1,2,deg1,S
3,8,3,2,deg3,CCZ
3,8,4,2,deg3,CCZ
3,12,2,2,deg2,CS
3,12,3,2,deg3,CCZ
3,14,1,2,deg1,T
3,14,2,2,deg1,T
3,15,1,3,deg1,T
3,18,4,2,deg3,CCZ
3,20,4,2,deg1,T
3,24,3,2,deg3,CCZ
3,24,4,2,deg3,CCZ
3,24,6,2,deg3,CCZ
3,26,6,2,deg1,T
3,28,2,2,deg2,CS
3,28,3,2,deg1,T
3,28,3,2,deg3,CCZ
3,29,3,2,deg1,T
3,30,1,2,deg1,T
3,30,2,2,deg1,T
3,31,1,3,deg1,T
3,42,4,2,deg3,CCZ
3,42,5,2,deg1,T
3,43,5,2,deg1,T
3,44,4,2,deg1,T
3,45,2,2,deg1,T
3,46,2,2,deg1,T
3,56,3,2,deg3,CCZ
3,56,4,2,deg3,CCZ
3,56,6,2,deg3,CCZ
3,56,7,2,deg1,T
3,57,7,2,deg1,T
3,58,6,2,deg1,T
3,60,2,2,deg2,CS
3,60,3,2,deg1,T
3,60,3,2,deg3,CCZ
3,61,3,2,deg1,T
3,62,1,2,deg1,T
3,62,2,2,deg1,T
3,63,1,3,deg1,T
3,75,3,2,deg3,CCZ
3,75,4,2,deg1,T
3,76,3,2,deg3,CCZ
3,76,4,2,deg1,T
3,90,4,2,deg3,CCZ
3,90,5,2,deg1,T
3,91,5,2,deg1,T
3,92,4,2,deg1,T
3,93,2,2,deg1,T
3,94,2,2,deg1,T
3,105,5,2,deg3,CCZ
3,105,6,2,deg1,T
3,106,5,2,deg3,CCZ
3,106,6,2,deg1,T
3,108,7,2,deg2,CS
3,120,3,2,deg3,CCZ
3,120,4,2,deg3,CCZ
3,120,6,2,deg3,CCZ
3,120,7,2,deg1,T
3,122,6,2,deg1,T
3,124,2,2,deg2,CS
3,124,3,2,deg1,T
3,124,3,2,deg3,CCZ
3,124,6,2,deg3,CCZ
3,125,3,2,deg1,T
3,126,1,2,deg1,T
3,126,2,2,deg1,T
3,127,1,3,deg1,T
3,130,5,2,deg3,CCZ
3,132,4,2,deg1,T
3,132,7,2,deg3,CCZ
3,133,3,2,deg1,T
3,134,2,2,deg1,T
3,135,1,3,deg1,T
3,135,4,2,deg3,CCZ
3,135,7,2,deg3,CCZ
3,136,4,2,deg3,CCZ
3,154,6,2,deg3,CCZ
3,155,3,2,deg3,CCZ
3,155,4,2,deg1,T
3,156,3,2,deg3,CCZ
3,156,4,2,deg1,T
3,165,5,2,deg2,CS
3,168,7,2,deg3,CCZ
3,170,6,2,deg1,T
3,171,5,2,deg1,T
3,186,4,2,deg3,CCZ
3,186,5,2,deg1,T
