l,N,k,d,degree,essential_dim,degree_note,t_count,t_count_note,decomposition,n,s_total,s_O,parts,search
4,56,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CT,9,1,5,,two-group
4,58,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,6xsqrtT,10,2,5,,two-group
4,58,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,3xCT,9,,,2+2+2,symmetry-free
4,62,6,2,3,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,sqrtT+CT+CCS,10,,,3+2+1,symmetry-free
4,64,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,2xsqrtT+2xCT,10,,,2+2+1+1,symmetry-free
4,68,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,4xsqrtT+CT,10,,,2+1+1+1+1,symmetry-free
4,90,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,6xsqrtT,10,,,1+1+1+1+1+1,symmetry-free
4,120,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CT,10,1,5,,two-group
4,122,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,6xsqrtT,11,2,5,,two-group
4,217,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,6xsqrtT,11,1,6,,two-group
4,248,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CT,11,1,5,,two-group
4,330,6,2,3,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCS,10,1,3,,two-group
4,346,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,6xsqrtT,11,2,3,,two-group
4,403,6,2,3,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCS,11,1,4,,two-group
4,516,6,2,3,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCS,11,4,1,,two-group
4,682,6,2,3,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCS,11,1,3,,two-group
4,120,7,2,1,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,7xsqrtT,11,1,7,,two-group
4,308,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCS,10,1,3,,two-group
4,344,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCS,11,2,3,,two-group
4,500,7,2,4,6,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCCZ,11,4,1,,two-group
4,660,7,2,3,7,"essential_dim/degree is an UPPER BOUND: |GL(7,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCS,11,1,3,,two-group
