l,N,k,d,degree,essential_dim,degree_note,t_count,t_count_note,decomposition,n,s_total,s_O,parts,search
4,30,1,2,1,1,,,only defined at l=3,sqrtT,5,1,1,,two-group
4,31,1,3,1,1,,,only defined at l=3,sqrtT,6,2,1,,two-group
4,62,1,2,1,1,,,only defined at l=3,sqrtT,6,1,1,,two-group
4,63,1,3,1,1,,,only defined at l=3,sqrtT,7,2,1,,two-group
4,126,1,2,1,1,,,only defined at l=3,sqrtT,7,1,1,,two-group
4,127,1,3,1,1,,,only defined at l=3,sqrtT,8,2,1,,two-group
4,254,1,2,1,1,,,only defined at l=3,sqrtT,8,1,1,,two-group
4,255,1,3,1,1,,,only defined at l=3,sqrtT,9,2,1,,two-group
4,510,1,2,1,1,,,only defined at l=3,sqrtT,9,1,1,,two-group
4,511,1,3,1,1,,,only defined at l=3,sqrtT,10,2,1,,two-group
4,527,1,5,1,1,,,only defined at l=3,sqrtT,11,4,1,,two-group
4,1022,1,2,1,1,,,only defined at l=3,sqrtT,10,1,1,,two-group
4,1023,1,3,1,1,,,only defined at l=3,sqrtT,11,2,1,,two-group
4,2046,1,2,1,1,,,only defined at l=3,sqrtT,11,1,1,,two-group
4,28,2,2,2,2,,,only defined at l=3,CT,5,1,1,,two-group + symmetry-free
4,30,2,2,1,2,,,only defined at l=3,2xsqrtT,6,2,1,,two-group + symmetry-free
4,60,2,2,2,2,,,only defined at l=3,CT,6,1,1,,two-group
4,62,2,2,1,2,,,only defined at l=3,2xsqrtT,7,2,1,,two-group
4,93,2,2,1,2,,,only defined at l=3,2xsqrtT,7,1,2,,two-group
4,94,2,2,1,2,,,only defined at l=3,2xsqrtT,8,2,2,,two-group
4,124,2,2,2,2,,,only defined at l=3,CT,7,1,1,,two-group
4,126,2,2,1,2,,,only defined at l=3,2xsqrtT,8,2,1,,two-group
4,189,2,2,1,2,,,only defined at l=3,2xsqrtT,8,1,2,,two-group
4,190,2,2,1,2,,,only defined at l=3,2xsqrtT,9,2,2,,two-group
4,252,2,2,2,2,,,only defined at l=3,CT,8,1,1,,two-group
4,254,2,2,1,2,,,only defined at l=3,2xsqrtT,9,2,1,,two-group
4,381,2,2,1,2,,,only defined at l=3,2xsqrtT,9,1,2,,two-group
4,382,2,2,1,2,,,only defined at l=3,2xsqrtT,10,2,2,,two-group
4,508,2,2,2,2,,,only defined at l=3,CT,9,1,1,,two-group
4,510,2,2,1,2,,,only defined at l=3,2xsqrtT,10,2,1,,two-group
4,526,2,2,1,2,,,only defined at l=3,2xsqrtT,11,4,1,,two-group
4,765,2,2,1,2,,,only defined at l=3,2xsqrtT,10,1,2,,two-group
4,766,2,2,1,2,,,only defined at l=3,2xsqrtT,11,2,2,,two-group
4,1020,2,2,2,2,,,only defined at l=3,CT,10,1,1,,two-group
4,1022,2,2,1,2,,,only defined at l=3,2xsqrtT,11,2,1,,two-group
4,1533,2,2,1,2,,,only defined at l=3,2xsqrtT,11,1,2,,two-group
4,2044,2,2,2,2,,,only defined at l=3,CT,11,1,1,,two-group
4,24,3,2,3,3,,,only defined at l=3,CCS,5,1,1,,two-group + symmetry-free
4,28,3,2,2,3,,,only defined at l=3,CT,6,2,1,,two-group
4,44,3,2,2,3,,,only defined at l=3,sqrtT+CT,7,,,2+1,symmetry-free
4,56,3,2,3,3,,,only defined at l=3,CCS,6,1,1,,two-group
4,60,3,2,1,3,,,only defined at l=3,3xsqrtT,7,1,3,,two-group
4,61,3,2,1,3,,,only defined at l=3,3xsqrtT,8,2,3,,two-group
4,120,3,2,3,3,,,only defined at l=3,CCS,7,1,1,,two-group
4,124,3,2,1,3,,,only defined at l=3,3xsqrtT,8,1,3,,two-group
4,125,3,2,1,3,,,only defined at l=3,3xsqrtT,9,2,3,,two-group
4,155,3,2,2,3,,,only defined at l=3,CT,8,1,2,,two-group
4,156,3,2,2,3,,,only defined at l=3,CT,9,2,2,,two-group
4,248,3,2,3,3,,,only defined at l=3,CCS,8,1,1,,two-group
4,252,3,2,1,3,,,only defined at l=3,3xsqrtT,9,1,3,,two-group
4,253,3,2,1,3,,,only defined at l=3,3xsqrtT,10,2,3,,two-group
4,315,3,2,2,3,,,only defined at l=3,CT,9,1,2,,two-group
4,316,3,2,2,3,,,only defined at l=3,CT,10,2,2,,two-group
4,504,3,2,3,3,,,only defined at l=3,CCS,9,1,1,,two-group
4,508,3,2,1,3,,,only defined at l=3,3xsqrtT,10,1,3,,two-group
4,509,3,2,1,3,,,only defined at l=3,3xsqrtT,11,2,3,,two-group
4,525,3,2,1,3,,,only defined at l=3,3xsqrtT,11,4,1,,two-group
4,635,3,2,2,3,,,only defined at l=3,CT,10,1,2,,two-group
4,636,3,2,2,3,,,only defined at l=3,CT,11,2,2,,two-group
4,1016,3,2,3,3,,,only defined at l=3,CCS,10,1,1,,two-group
4,1020,3,2,1,3,,,only defined at l=3,3xsqrtT,11,1,3,,two-group
4,1275,3,2,2,3,,,only defined at l=3,CT,11,1,2,,two-group
4,2040,3,2,3,3,,,only defined at l=3,CCS,11,1,1,,two-group
4,16,4,2,4,4,,,only defined at l=3,CCCZ,5,1,1,,two-group + symmetry-free
4,24,4,2,3,4,,,only defined at l=3,CCS,6,2,1,,two-group
4,42,4,2,2,4,,,only defined at l=3,CT,7,1,3,,two-group
4,42,4,2,2,4,,,only defined at l=3,2xCT,7,,,2+2,symmetry-free
4,44,4,2,1,4,,,only defined at l=3,4xsqrtT,8,2,3,,two-group
4,48,4,2,4,4,,,only defined at l=3,CCCZ,6,1,1,,two-group
4,48,4,2,3,4,,,only defined at l=3,sqrtT+CCS,8,,,3+1,symmetry-free
4,50,4,2,2,4,,,only defined at l=3,2xsqrtT+CT,8,,,2+1+1,symmetry-free
4,56,4,2,3,4,,,only defined at l=3,CCS,7,2,1,,two-group
4,60,4,2,1,4,,,only defined at l=3,4xsqrtT,8,,,1+1+1+1,symmetry-free
4,90,4,2,2,4,,,only defined at l=3,CT,8,1,3,,two-group
4,92,4,2,1,4,,,only defined at l=3,4xsqrtT,9,2,3,,two-group
4,112,4,2,4,4,,,only defined at l=3,CCCZ,7,1,1,,two-group
4,120,4,2,3,4,,,only defined at l=3,CCS,8,2,1,,two-group
4,155,4,2,1,4,,,only defined at l=3,4xsqrtT,9,1,4,,two-group
4,156,4,2,1,4,,,only defined at l=3,4xsqrtT,10,2,4,,two-group
4,186,4,2,2,4,,,only defined at l=3,CT,9,1,3,,two-group
4,188,4,2,1,4,,,only defined at l=3,4xsqrtT,10,2,3,,two-group
4,240,4,2,4,4,,,only defined at l=3,CCCZ,8,1,1,,two-group
4,248,4,2,3,4,,,only defined at l=3,CCS,9,2,1,,two-group
4,279,4,2,3,4,,,only defined at l=3,CCS,9,1,2,,two-group
4,280,4,2,3,4,,,only defined at l=3,CCS,10,2,2,,two-group
4,315,4,2,1,4,,,only defined at l=3,4xsqrtT,10,1,4,,two-group
4,316,4,2,1,4,,,only defined at l=3,4xsqrtT,11,2,4,,two-group
4,378,4,2,2,4,,,only defined at l=3,CT,10,1,3,,two-group
4,380,4,2,1,4,,,only defined at l=3,4xsqrtT,11,2,3,,two-group
4,496,4,2,4,4,,,only defined at l=3,CCCZ,9,1,1,,two-group
4,504,4,2,3,4,,,only defined at l=3,CCS,10,2,1,,two-group
4,524,4,2,1,4,,,only defined at l=3,4xsqrtT,11,4,1,,two-group
4,567,4,2,3,4,,,only defined at l=3,CCS,10,1,2,,two-group
4,568,4,2,3,4,,,only defined at l=3,CCS,11,2,2,,two-group
4,635,4,2,1,4,,,only defined at l=3,4xsqrtT,11,1,4,,two-group
4,762,4,2,2,4,,,only defined at l=3,CT,11,1,3,,two-group
4,1008,4,2,4,4,,,only defined at l=3,CCCZ,10,1,1,,two-group
4,1016,4,2,3,4,,,only defined at l=3,CCS,11,2,1,,two-group
4,1143,4,2,3,4,,,only defined at l=3,CCS,11,1,2,,two-group
4,2032,4,2,4,4,,,only defined at l=3,CCCZ,11,1,1,,two-group
4,16,5,2,4,4,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCCZ,6,2,1,,two-group
4,44,5,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCS,9,,,4+1,symmetry-free
4,46,5,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CT+CCS,8,,,3+2,symmetry-free
4,48,5,2,4,4,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCCZ,7,2,1,,two-group
4,50,5,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,2xsqrtT+CCS,9,,,3+1+1,symmetry-free
4,60,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,sqrtT+2xCT,9,,,2+2+1,symmetry-free
4,66,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,3xsqrtT+CT,9,,,2+1+1+1,symmetry-free
4,90,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,5xsqrtT,9,1,5,,two-group
4,91,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,5xsqrtT,10,2,5,,two-group
4,112,5,2,4,4,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCCZ,8,2,1,,two-group
4,186,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,5xsqrtT,10,1,5,,two-group
4,187,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,5xsqrtT,11,2,5,,two-group
4,217,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CT,10,1,4,,two-group
4,218,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CT,11,2,4,,two-group
4,240,5,2,4,4,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCCZ,9,2,1,,two-group
4,341,5,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCS,10,1,3,,two-group
4,347,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,5xsqrtT,11,2,3,,two-group
4,378,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,5xsqrtT,11,1,5,,two-group
4,441,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CT,11,1,4,,two-group
4,496,5,2,4,4,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCCZ,10,2,1,,two-group
4,522,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CT,11,4,1,,two-group
4,527,5,2,4,4,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCCZ,10,1,2,,two-group
4,528,5,2,4,4,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCCZ,11,2,2,,two-group
4,693,5,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCS,11,1,3,,two-group
4,1008,5,2,4,4,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCCZ,11,2,1,,two-group
4,1071,5,2,4,4,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCCZ,11,1,2,,two-group
4,42,6,2,4,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CT+CCCZ,9,,,4+2,symmetry-free
4,44,6,2,3,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",,only defined at l=3,CCS,10,,,4+1+1,symmetry-free
