l,N,k,d,degree,decomposition,n,search
2,91,5,2,1,5xS,10,two-group
2,102,5,2,2,CZ,11,two-group
2,105,5,2,2,CZ,9,two-group
2,106,5,2,2,CZ,10,two-group
2,130,5,2,2,CZ,9,two-group
2,147,5,2,1,5xS,11,two-group
2,165,5,2,2,CZ,9,two-group
2,171,5,2,1,5xS,10,two-group
2,186,5,2,1,5xS,10,two-group
2,187,5,2,1,5xS,11,two-group
2,217,5,2,2,CZ,10,two-group
2,218,5,2,2,CZ,11,two-group
2,262,5,2,2,CZ,11,two-group
2,266,5,2,2,CZ,10,two-group
2,341,5,2,2,CZ,10,two-group
2,347,5,2,1,5xS,11,two-group
2,378,5,2,1,5xS,11,two-group
2,441,5,2,2,CZ,11,two-group
2,522,5,2,2,CZ,11,two-group
2,693,5,2,2,CZ,11,two-group
2,8,6,2,2,CZ,7,two-group
2,8,6,2,2,3xCZ,7,symmetry-free
2,10,6,2,1,6xS,8,two-group
2,10,6,2,2,2xCZ+2xS,8,symmetry-free
2,10,6,2,2,CZ+4xS,8,symmetry-free
2,16,6,2,1,6xS,7,two-group
2,18,6,2,1,6xS,8,symmetry-free
2,24,6,2,2,CZ,8,two-group
2,26,6,2,1,6xS,9,two-group
2,46,6,2,1,6xS,11,two-group
2,49,6,2,1,6xS,9,two-group
2,50,6,2,1,6xS,10,two-group
2,52,6,2,1,6xS,8,two-group
2,56,6,2,2,CZ,9,two-group
2,58,6,2,1,6xS,10,two-group
2,66,6,2,1,6xS,8,two-group
2,82,6,2,1,6xS,9,two-group
2,91,6,2,1,6xS,9,two-group
2,92,6,2,1,6xS,10,two-group
2,105,6,2,1,6xS,10,two-group
2,106,6,2,1,6xS,11,two-group
2,120,6,2,2,CZ,10,two-group
2,122,6,2,1,6xS,11,two-group
2,124,6,2,1,6xS,9,two-group
2,154,6,2,1,6xS,9,two-group
2,170,6,2,1,6xS,10,two-group
2,195,6,2,1,6xS,10,two-group
2,196,6,2,1,6xS,11,two-group
2,217,6,2,1,6xS,11,two-group
2,248,6,2,2,CZ,11,two-group
2,260,6,2,1,6xS,10,two-group
2,330,6,2,1,6xS,10,two-group
2,346,6,2,1,6xS,11,two-group
2,403,6,2,1,6xS,11,two-group
2,516,6,2,1,6xS,11,two-group
2,682,6,2,1,6xS,11,two-group
2,8,7,2,2,CZ,8,two-group
2,24,7,2,1,7xS,9,two-group
2,25,7,2,1,7xS,10,two-group
2,44,7,2,2,CZ,8,two-group
2,56,7,2,1,7xS,10,two-group
2,57,7,2,1,7xS,11,two-group
2,63,7,2,2,CZ,10,two-group
2,64,7,2,2,CZ,11,two-group
2,80,7,2,2,CZ,9,two-group
2,105,7,2,2,CZ,10,two-group
2,113,7,2,1,7xS,11,two-group
2,120,7,2,1,7xS,11,two-group
2,132,7,2,2,CZ,9,two-group
2,135,7,2,2,CZ,11,two-group
2,157,7,2,1,7xS,11,two-group
2,168,7,2,2,CZ,10,two-group
2,225,7,2,2,CZ,11,two-group
2,308,7,2,2,CZ,10,two-group
2,344,7,2,2,CZ,11,two-group
2,660,7,2,2,CZ,11,two-group
