l,N,k,d,degree,essential_dim,degree_note,t_count,t_count_note,decomposition,n,s_total,s_O,parts,search
3,56,4,2,3,3,,7,,CCZ012,7,2,1,,two-group
3,75,4,2,1,4,,4,,T0+T1+T2+T3,8,1,4,,two-group
3,76,4,2,1,4,,4,,T0+T1+T2+T3,9,2,4,,two-group
3,90,4,2,2,4,,5,,CS01+CS02+CS13,8,1,3,,two-group
3,92,4,2,1,4,,4,,T0+T1+T2+T3,9,2,3,,two-group
3,120,4,2,3,3,,7,,CCZ012,8,2,1,,two-group
3,132,4,2,1,4,,4,,T0+T1+T2+T3,9,4,1,,two-group
3,135,4,2,3,3,,7,,CCZ012,8,1,2,,two-group
3,136,4,2,3,3,,7,,CCZ012,9,2,2,,two-group
3,155,4,2,1,4,,4,,T0+T1+T2+T3,9,1,4,,two-group
3,156,4,2,1,4,,4,,T0+T1+T2+T3,10,2,4,,two-group
3,186,4,2,2,4,,5,,CS01+CS02+CS13,9,1,3,,two-group
3,188,4,2,1,4,,4,,T0+T1+T2+T3,10,2,3,,two-group
3,196,4,2,1,4,,4,,T0+T1+T2+T3,11,4,3,,two-group
3,248,4,2,3,3,,7,,CCZ012,9,2,1,,two-group
3,268,4,2,1,4,,4,,T0+T1+T2+T3,10,4,1,,two-group
3,279,4,2,3,3,,7,,CCZ012,9,1,2,,two-group
3,280,4,2,3,3,,7,,CCZ012,10,2,2,,two-group
3,315,4,2,1,4,,4,,T0+T1+T2+T3,10,1,4,,two-group
3,316,4,2,1,4,,4,,T0+T1+T2+T3,11,2,4,,two-group
3,378,4,2,2,4,,5,,CS01+CS02+CS13,10,1,3,,two-group
3,380,4,2,1,4,,4,,T0+T1+T2+T3,11,2,3,,two-group
3,504,4,2,3,3,,7,,CCZ012,10,2,1,,two-group
3,524,4,2,1,4,,4,,T0+T1+T2+T3,11,4,1,,two-group
3,567,4,2,3,3,,7,,CCZ012,10,1,2,,two-group
3,568,4,2,3,3,,7,,CCZ012,11,2,2,,two-group
3,635,4,2,1,4,,4,,T0+T1+T2+T3,11,1,4,,two-group
3,762,4,2,2,4,,5,,CS01+CS02+CS13,11,1,3,,two-group
3,1016,4,2,3,3,,7,,CCZ012,11,2,1,,two-group
3,1143,4,2,3,3,,7,,CCZ012,11,1,2,,two-group
3,18,5,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",9,,CCZ012+CS34,7,,,3+2,symmetry-free
3,20,5,2,3,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",8,,CCZ012+T3+T4,8,,,3+1+1,symmetry-free
3,26,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",7,,CS01+CS23+T4,8,,,2+2+1,symmetry-free
3,30,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS01+T2+T3+T4,8,,,2+1+1+1,symmetry-free
3,42,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,T0+T1+T2+T3+T4,8,1,5,,two-group
3,43,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,T0+T1+T2+T3+T4,9,2,5,,two-group
3,90,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,T0+T1+T2+T3+T4,9,1,5,,two-group
3,91,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,T0+T1+T2+T3+T4,10,2,5,,two-group
3,105,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS02+CS03+CS13+CS24,9,1,4,,two-group
3,106,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS02+CS03+CS13+CS24,10,2,4,,two-group
3,130,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS02+CS03+CS13+CS24,9,4,1,,two-group
3,165,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",10,,CS01234(10+5 terms),9,1,3,,two-group
3,171,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,T0+T1+T2+T3+T4,10,2,3,,two-group
3,186,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,T0+T1+T2+T3+T4,10,1,5,,two-group
3,187,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,T0+T1+T2+T3+T4,11,2,5,,two-group
3,217,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS02+CS03+CS13+CS24,10,1,4,,two-group
3,218,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS02+CS03+CS13+CS24,11,2,4,,two-group
3,266,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS02+CS03+CS13+CS24,10,4,1,,two-group
3,341,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",10,,CS01234(10+5 terms),10,1,3,,two-group
3,347,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,T0+T1+T2+T3+T4,11,2,3,,two-group
3,378,5,2,1,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",5,,T0+T1+T2+T3+T4,11,1,5,,two-group
3,441,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS02+CS03+CS13+CS24,11,1,4,,two-group
3,522,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,CS02+CS03+CS13+CS24,11,4,1,,two-group
3,693,5,2,2,5,"essential_dim/degree is an UPPER BOUND: |GL(5,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",10,,CS01234(10+5 terms),11,1,3,,two-group
3,14,6,2,3,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",13,,CCZ012+CCZ345,7,,,3+3,symmetry-free
3,24,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",7,,CS012345(5 terms),8,1,5,,two-group
3,24,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",9,,CS01+CS23+CS45,8,,,2+2+2,symmetry-free
3,26,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,T0+T1+T2+T3+T4+T5,9,2,5,,two-group
3,26,6,2,3,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",10,,CCZ012+CS34+T5,9,,,3+2+1,symmetry-free
3,28,6,2,2,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",8,,CS01+CS23+T4+T5,9,,,2+2+1+1,symmetry-free
3,42,6,2,1,6,"essential_dim/degree is an UPPER BOUND: |GL(6,2)| too large for exact enumeration; min over identity + up to 4,000 random frames",6,,T0+T1+T2+T3+T4+T5,9,,,1+1+1+1+1+1,symmetry-free
